ID,Title,Trailer ID,SentimentScore
223,The Eagle,3TLYO2I5kgw,0.6
224,Gnomeo & Juliet,qIlr2aR-Vhk,0.5
225,Just Go with It,fpj7i2CPt8M,0.69
226,Justin Bieber: Never Say Never,EdE5EgL4_3Q,0.49
227,Mooz-lum,V4axp5V_j6E,0.67
228,"Big Mommas: Like Father, Like Son",0bnDBexQ-Yw,0.5
229,I Am Number Four,XR2QSlHpKg4,0.5306122448979592
230,Unknown,vSXUgkCjdBM,0.71
231,Drive Angry,CNEGBSUVWqY,0.5714285714285714
232,Hall Pass,1JMCvX6qXuo,0.5942028985507246
233,The Adjustment Bureau,fSeWHl1PaKs,0.75
234,Beastly,vum62JOVuwY,0.65
235,Rango,k-OOfW6wWyQ,0.7
236,Take Me Home Tonight,5gYL9znVmGs,0.87
237,Battle: Los Angeles,Yt7ofokzn04,0.63
238,Mars Needs Moms,yBFUAW6jC_M,0.39
239,Red Riding Hood,oMoY1Ra_wyg,0.45
240,Limitless,4TLppsfzQH8,0.71
241,The Lincoln Lawyer,IFwE3UgCMIk,0.82
242,Paul,BJxlNYb8sJQ,0.67
243,Win Win,ci_I6n2j5Uw,0.68
245,Sucker Punch,XAnnWoXD2tI,0.72
246,Insidious,zuZnRUcoWos,0.65
248,Source Code,1HCsSOuDS7Y,0.6285714285714286
249,Super,tLj_Bzw8n90,0.58
250,Trust,RlXj9VGHDaM,0.54
251,Arthur,XoJN7k1BMYg,0.58
252,Hanna,u73CLdHpbNk,0.7
253,Henry's Crime,H0ICsuu_v3U,0.6666666666666666
254,Soul Surfer,_KlpD6dr7Qw,0.9
255,Your Highness,1nB2pWEW9yw,0.59
256,Atlas Shrugged: Part I,1UaZx_DIKgI,0.4
257,The Conspirator,CmoESMxbIIY,0.4615384615384615
258,Rio,P1GRO31ve5Q,0.67
259,Scream 4,JKRtyVLWV-E,0.57
260,African Cats,cyw5KiT0tM0,0.83
261,Madea's Big Happy Family,bExi5_p28Mo,0.5540540540540541
262,POM Wonderful Presents: The Greatest Movie Ever Sold,92fOw-bQ12Y,0.6666666666666666
263,Water for Elephants,OOPHFQZ5aiM,0.74
264,Dylan Dog: Dead of Night,lAvh0p0tzjc,0.5714285714285714
265,Fast Five,vcn2GOuZCKI,0.69
267,Prom,4YziwpXjY2o,0.76
269,Hobo with a Shotgun,XJF-gQVlXs4,0.5
270,Jumping the Broom,QsfB725SZuU,0.425531914893617
271,Something Borrowed,U2p1u13R-eE,0.49
272,Thor,JOddp-nlNvQ,0.57
273,Bridesmaids,FNppLrmdyug,0.77
274,Midnight in Paris,FAfR8omt-CY,0.89
275,Pirates of the Caribbean: On Stranger Tides,0BXCVe8Yww4,0.3953488372093023
277,The Hangover Part II,ohF5ZO_zOYU,0.74
278,The Tree of Life,RrAz1YLh8nY,0.87
279,Beginners,e1zZYMKGw2M,0.7804878048780488
280,Submarine,Z2xDk4LwBl0,0.72
281,X-Men: First Class,UrbHykKUfTM,0.78
282,The Lion of Judah,BvaFY3ESQjk,0.4166666666666667
284,Road to Nowhere,f5hyFPC96Pw,0.0
285,Super 8,t-0XuYxh67w,0.69
286,The Art of Getting By,OeXaehdeNPo,0.59
287,Green Lantern,7-GO9fo9DtM,0.67
289,A Better Life,A2agEMk6t_c,0.7777777777777778
290,Bad Teacher,GahC5cVsU6A,0.67
292,Transformers: Dark of the Moon,E-Sg_zJrDxc,0.8
293,Monte Carlo,X0n3Q_VDQk8,0.6419753086419753
294,The Perfect Host,MVe62FZMYAE,0.7037037037037037
296,Horrible Bosses,VpUeQV8sdOc,0.69
297,Zookeeper,krvwtRbK5nM,0.47
298,Harry Potter and the Deathly Hallows – Part 2,mObK5XD8udk,0.56
300,Another Earth,N8hEwMMDtFY,0.85
301,Captain America: The First Avenger,JerVrbLldXw,0.62
302,Friends with Benefits,4rdZAsM4o-s,1.0
303,Cowboys & Aliens,5HsSonHZFnI,0.65
304,"Crazy, Stupid, Love.",8iCwtxJejik,0.72
305,The Devil's Double,2-MsGEWFiYg,0.73
306,The Guard,ygVa2W2Qrac,0.6842105263157895
308,The Change-Up,43Qc70ZeMFw,0.59
309,Rise of the Planet of the Apes,T3tidwW1gGM,0.76
310,The Help,aT9eWGjLv6s,0.72
311,30 Minutes or Less,nfOt-Go3ECA,0.43
312,Final Destination 5,PI87-0g_SI8,0.48
313,Glee: The 3D Concert Movie,SOspGTrGOUg,0.5555555555555556
314,Conan the Barbarian,P3L7tRQzDEQ,0.66
315,Flypaper,fKCzQ2BGOpo,0.69
316,Fright Night,txgGhyjPZGg,0.73
317,One Day,zVuuooZqVaU,0.61
318,Spy Kids: All the Time in the World,7iMQ3xjFt40,0.2105263157894736
319,Colombiana,HCxPLlFWdFo,0.85
320,Higher Ground,Z9rsnIZ64Xk,1.0
321,Apollo 18,4RGhKzUUaME,0.54
323,Shark Night,nBEn0In7Ufg,0.39
